N,Tiempo (segundos),Primo1,Primo2,Algoritmo
221,0.000102996826171875,17,13,Fuerza Bruta
221,1.6427040100097658e-05,13,17,Shor clasico
221,1.0251998901367188e-05,17,13,GNFS
899,0.00013518333435058594,31,29,Fuerza Bruta
899,0.00016777515411376954,31,29,Shor clasico
899,8.821487426757812e-06,31,29,GNFS
1763,0.0001678466796875,43,41,Fuerza Bruta
1763,0.0002896547317504883,43,41,Shor clasico
1763,9.059906005859375e-06,43,41,GNFS
3599,0.0003399848937988281,61,59,Fuerza Bruta
3599,0.000663590431213379,59,61,Shor clasico
3599,9.775161743164062e-06,61,59,GNFS
5609,0.00034999847412109375,79,71,Fuerza Bruta
5609,0.0016114950180053712,71,79,Shor clasico
5609,1.0728836059570312e-05,79,71,GNFS
38021,0.004422903060913086,197,193,Fuerza Bruta
38021,0.0037988662719726563,197,193,Shor clasico
38021,1.4066696166992188e-05,197,193,GNFS
97343,0.008269071578979492,313,311,Fuerza Bruta
97343,0.01430366039276123,311,313,Shor clasico
97343,1.8596649169921875e-05,313,311,GNFS
89077,0.0009076595306396484,317,281,Fuerza Bruta
89077,0.012343835830688477,317,281,Shor clasico
89077,1.6927719116210938e-05,317,281,GNFS
3378077,0.4584846496582031,1901,1777,Fuerza Bruta
3378077,0.3426421880722046,1901,1777,Shor clasico
3378077,7.963180541992188e-05,1901,1777,GNFS
14047063,1.5558199882507324,3769,3727,Fuerza Bruta
14047063,0.9820190906524658,3727,3769,Shor clasico
14047063,0.00013446807861328125,3769,3727,GNFS
32546881,2.766975164413452,5717,5693,Fuerza Bruta
32546881,47.1570065498352,5693,5717,Shor clasico
32546881,0.00010514259338378906,5717,5693,GNFS
54075289,3.3344016075134277,7499,7211,Fuerza Bruta
54075289,34.70743906497955,7499,7211,Shor clasico
54075289,0.00010848045349121094,7499,7211,GNFS
88469587,5.376153469085693,9463,9349,Fuerza Bruta
88469587,1.0121448040008545,9463,9349,Shor clasico
88469587,0.00010466575622558594,9463,9349,GNFS
127372571,6.278609037399292,11321,11251,Fuerza Bruta
127372571,8.615392351150513,11251,11321,Shor clasico
127372571,0.00010657310485839844,11321,11251,GNFS
164424973,6.287523984909058,12889,12757,Fuerza Bruta
164424973,8.261526441574096,12757,12889,Shor clasico
164424973,0.00010991096496582031,12889,12757,GNFS
212337467,8.113595247268677,14827,14321,Fuerza Bruta
212337467,49.8607259273529,14827,14321,Shor clasico
212337467,0.00011014938354492188,14827,14321,GNFS
259242101,8.275271654129028,16111,16091,Fuerza Bruta
259242101,61.67662537097931,16111,16091,Shor clasico
259242101,0.00010895729064941406,16111,16091,GNFS
301402721,7.842962026596069,17401,17321,Fuerza Bruta
301402721,9.511446475982666,17401,17321,Shor clasico
301402721,0.00010919570922851562,17401,17321,GNFS
361367779,10.741972208023071,19121,18899,Fuerza Bruta
361367779,170.70473041534424,18899,19121,Shor clasico
361367779,0.00011038780212402344,19121,18899,GNFS
430104751,12.433451175689697,20947,20533,Fuerza Bruta
430104751,173.8076728105545,20947,20533,Shor clasico
430104751,0.00011467933654785156,20947,20533,GNFS
471431869,8.731375455856323,21863,21563,Fuerza Bruta
471431869,3837.4563905000687,21863,21563,Shor clasico
471431869,0.00011134147644042969,21863,21563,GNFS
543990751,13.995041370391846,23459,23189,Fuerza Bruta
543990751,643.5246685504914,23459,23189,Shor clasico
543990751,0.00011157989501953125,23459,23189,GNFS
616329187,14.36351203918457,24859,24793,Fuerza Bruta
616329187,74.46379630565643,24859,24793,Shor clasico
616329187,0.0001201629638671875,24859,24793,GNFS
677950219,13.18984580039978,26203,25873,Fuerza Bruta
677950219,8.434507894515992,26203,25873,Shor clasico
677950219,0.00011014938354492188,26203,25873,GNFS
756022447,16.054118633270264,27583,27409,Fuerza Bruta
756022447,231.82477703094483,27583,27409,Shor clasico
756022447,0.00011181831359863281,27583,27409,GNFS
849938027,18.973422527313232,29287,29021,Fuerza Bruta
849938027,639.5152257204056,29287,29021,Shor clasico
849938027,0.00011277198791503906,29287,29021,GNFS
960669289,22.157766103744507,31139,30851,Fuerza Bruta
960669289,3759.2042675733564,30851,31139,Shor clasico
960669289,0.00011205673217773438,31139,30851,GNFS
1073084539,23.07707715034485,32803,32713,Fuerza Bruta
1073084539,205.1623761177063,32803,32713,Shor clasico
1073084539,0.00011277198791503906,32803,32713,GNFS
1149536029,18.412338972091675,34019,33791,Fuerza Bruta
1149536029,1604.485001373291,33791,34019,Shor clasico
1149536029,0.00013947486877441406,34019,33791,GNFS
1220242223,17.95676612854004,34981,34883,Fuerza Bruta
1220242223,537.6552195549011,34883,34981,Shor clasico
1220242223,0.0001289844512939453,34981,34883,GNFS
1341095141,26.389872312545776,36671,36571,Fuerza Bruta
1341095141,505.5821439027786,36571,36671,Shor clasico
1341095141,0.0001289844512939453,36671,36571,GNFS
1464136987,27.557769060134888,38653,37879,Fuerza Bruta
1464136987,2728.2939287424088,38653,37879,Shor clasico
1464136987,0.00013136863708496094,38653,37879,GNFS
1550264167,22.370439529418945,39829,38923,Fuerza Bruta
1550264167,1483.468319129944,38923,39829,Shor clasico
1550264167,0.00014209747314453125,39829,38923,GNFS
1706156693,33.970592975616455,41641,40973,Fuerza Bruta
1706156693,846.5467893362045,40973,41641,Shor clasico
1706156693,0.00014710426330566406,41641,40973,GNFS
1781332747,21.91209578514099,42323,42089,Fuerza Bruta
1781332747,5596.759598422051,42323,42089,Shor clasico
1781332747,0.0001800060272216797,42323,42089,GNFS
1908192389,30.580565690994263,43793,43573,Fuerza Bruta
1908192389,735.8260628223419,43573,43793,Shor clasico
1908192389,0.00013327598571777344,43793,43573,GNFS
2031520573,30.806310653686523,45307,44839,Fuerza Bruta
2031520573,362.0626807689667,45307,44839,Shor clasico
2031520573,0.00013065338134765625,45307,44839,GNFS
2151653771,30.926541566848755,46471,46301,Fuerza Bruta
2151653771,419.61387610435486,46471,46301,Shor clasico
2151653771,0.0001475811004638672,46471,46301,GNFS
2254349959,28.876543045043945,47501,47459,Fuerza Bruta
2254349959,6209.048579668999,47459,47501,Shor clasico
2254349959,0.02379751205444336,47501,47459,GNFS
2390671741,51.33069038391113,49117,48673,Fuerza Bruta
2390671741,294.9920133590698,49117,48673,Shor clasico
2390671741,0.02808213233947754,49117,48673,GNFS
2500802737,49.002503633499146,50321,49697,Fuerza Bruta
2500802737,316.092835688591,50321,49697,Shor clasico
2500802737,0.024331092834472656,50321,49697,GNFS
2668715999,49.067872285842896,51859,51461,Fuerza Bruta
2668715999,809.187493610382,51461,51859,Shor clasico
2668715999,0.0001308917999267578,51859,51461,GNFS
2803365209,50.058780908584595,53087,52807,Fuerza Bruta
2803365209,4219.294587564468,53087,52807,Shor clasico
2803365209,0.023136377334594727,53087,52807,GNFS
2939693479,46.235949993133545,54559,53881,Fuerza Bruta
2939693479,552.238201212883,54559,53881,Shor clasico
2939693479,0.0036423206329345703,54559,53881,GNFS
3178817017,54.51296281814575,56393,56369,Fuerza Bruta
3178817017,2360.3560325145722,56393,56369,Shor clasico
3178817017,0.00013494491577148438,56393,56369,GNFS
3319254853,39.93394231796265,57667,57559,Fuerza Bruta
3319254853,4460.523198008537,57559,57667,Shor clasico
3319254853,0.000171661376953125,57667,57559,GNFS
3483114197,45.308616638183594,59377,58661,Fuerza Bruta
3483114197,621.3252734899521,58661,59377,Shor clasico
3483114197,0.0001327991485595703,59377,58661,GNFS
